state_name,year,surface_water_mean,surface_water_max,surface_water_p25,surface_water_p75,rainfall_annual_mm,rainfall_stddev,rainfall_min,rainfall_max,dry_months_count,rainfall_variability_cv,wettest_month_mm,driest_month_mm
Andaman and Nicobar,2020,91.53248285939105,100,90.00000000000009,96.99999999999996,3373.8566919986324,1263.6965929488733,1412.2202434793653,6301.590045750141,4,80.9,657.8,6.7
Andhra Pradesh,2020,58.370775230297,100,34.99999999999993,84.99999999999996,1336.1548764497986,299.11866056697005,495.1840757223581,2161.4976341204483,6,92.3,249.8,6.2
Arunachal Pradesh,2020,46.21620972146465,91,29.000000000000014,62.00000000000001,2605.853268126597,580.1221200404724,1410.1124691171572,4830.1116938591,3,88.4,610.6,9.8
Assam,2020,46.037600007443444,99,32.99999999999992,59.99999999999992,2416.8952575420044,605.3114379285904,1228.2803333699703,4185.925466835499,5,86.5,473.7,5.0
Bihar,2020,33.336726170531406,96,13.999999999999662,49.000000000000064,1695.0283447914157,391.7421161590864,1033.8383412863932,3423.9408509986715,5,113.0,502.8,0.2
Chandigarh,2020,79.94269340974212,90,84,90,1068.0968875626065,53.31148311566263,980.9098351020366,1151.2645898484188,5,115.6,349.7,11.5
Chhattisgarh,2020,57.19927364274973,99,36.00000000000014,80.00000000000001,1619.6185565011176,125.3444771809556,1190.3187633994216,2161.4976341204483,6,111.0,481.0,0.5
Dadra and Nagar Haveli,2020,79.59831522943914,98,73,92,2832.681679557698,128.46422567589818,2519.9440616455104,3156.9538281019777,7,145.0,900.4,0
Daman and Diu,2020,75.48324412380721,100,61.999999999999986,97.99999999999999,1446.3225885094869,570.2983636121434,1211.5205051610246,3172.7354541792965,7,154.4,520.7,0
Delhi,2020,25.605647058823607,62,7.000000000000003,41,746.6456064637387,59.2004318985979,618.8036363834981,847.8693129671738,8,120.0,234.4,4.5
Goa,2020,77.98655948971583,100,67,95.00000000000006,3548.7996904876004,367.72704740014603,2484.7082042324723,4242.6446106699295,6,132.9,984.9,0.3
Gujarat,2020,55.707985384757315,100,32.99999999999986,80,1111.0550624069463,410.9714028120309,347.6827623391549,3310.005654794787,8,159.4,477.9,0.0
Haryana,2020,14.15227656716817,85,3,20.000000000000004,691.0225325923607,217.84373192023597,406.50772276730277,1564.868589758873,8,114.3,207.1,4.3
Himachal Pradesh,2020,75.7946661208992,100,64,94.99999999999997,1037.0195160657051,503.0386361921858,197.4847303929273,2885.534812054975,5,94.0,269.4,9.2
Jharkhand,2020,56.63282967495069,100,32.99999999999993,84,1655.1473168756784,143.93909889742272,1281.3847884880379,2127.6874095991197,4,101.3,437.5,0.0
Karnataka,2020,65.93360699944083,100,48.000000000000206,87.99999999999997,1388.384578164632,993.2355107948838,495.1840757223581,4885.377045361325,6,97.1,307.4,0.8
Kerala,2020,78.60981693278472,100,71,96.99999999999999,2946.318863020395,736.150723851893,967.5092829093337,4885.377045361325,3,94.5,763.8,9.7
Lakshadweep,2020,97.74577362743521,100,96.99999999999997,98.99999999999997,2749.5332135048657,324.10354893518974,2272.7822599336505,3160.3742218352854,4,98.3,698.8,8.0
Madhya Pradesh,2020,60.67324040385118,100,42.99999999999992,80.99999999999999,1190.783710513284,280.5188076568533,582.3193889339418,2525.685893639922,8,137.4,447.8,4.4
Maharashtra,2020,66.92305062536217,100,49.99999999999987,87.99999999999997,1437.2014802060123,707.1459342937188,726.2716839518398,4556.824383476123,7,117.4,343.5,2.9
Manipur,2020,51.116024174548286,91,30.999999999999996,71.99999999999999,1639.4109574051522,268.1251491552392,1136.1956382989883,2473.4924456477165,4,76.2,296.8,2.5
Meghalaya,2020,45.30239605355366,95,21.000000000000018,67.00000000000003,3154.1409801709833,775.3869000279351,1666.8139914870262,5420.064303994179,5,93.5,720.5,0.6
Mizoram,2020,34.768395485069256,72,15,52,2347.6817909434367,395.94270845676243,1511.2739838063717,3096.655260846019,4,82.9,462.3,7.8
Nagaland,2020,61.140856504971964,89,48,84.99999999999999,1878.396253014553,389.812454669598,1288.9038148671389,2689.9215519726276,5,74.7,343.3,6.8
Orissa,2020,73.49597399232968,100,59.00000000000015,96.00000000000009,1671.0415090919566,128.582147732444,1144.2576260119677,2077.5107532068046,4,100.5,489.9,0.2
Puducherry,2020,75.64958936253423,100,66.00000000000001,93,2205.2937555209564,1199.76924240023,1292.70766839914,4428.3194793872535,4,78.9,369.3,0.8
Punjab,2020,39.48078186597076,97,14,61.999999999999986,781.0965535654168,267.6102700924492,360.95660971437974,2175.0892924651853,7,107.0,211.7,5.7
Rajasthan,2020,50.90322829671602,100,24.00000000000024,78.00000000000001,579.0788129264917,264.3066222268421,190.68459230475128,2076.562048666179,9,151.6,236.8,0.1
Sikkim,2020,82.36272482943754,100,77.00000000000001,96,1252.905453077095,405.92500254675093,510.62240458837186,2244.2014009683116,6,97.6,278.7,0.4
Tamil Nadu,2020,51.601937791957006,100,22.000000000000064,84.00000000000001,1250.52614968559,366.8883571269705,493.3013812061399,2592.8491411209106,4,70.1,221.0,4.5
Tripura,2020,50.96522204387137,94,25.000000000000004,77.99999999999999,2801.5983388275135,175.73831312416013,2301.802325770259,3208.604333281517,5,88.4,685.8,5.9
Uttar Pradesh,2020,45.150288853506716,100,18.00000000000007,73.00000000000003,1103.8373615212674,341.8223831422398,524.1546570156352,2385.901415102184,8,115.8,343.6,3.8
Uttarakhand,2020,61.951477579941965,100,47.000000000000014,80.99999999999999,1323.2092368909828,279.61222512108804,426.10680496139685,2302.649769633601,4,98.5,363.5,5.8
West Bengal,2020,59.75597421815906,100,32.999999999999936,87.00000000000006,2105.075122783799,655.6140100000664,1495.4808896012955,4525.826528660516,4,94.1,488.1,0.2
