state_name,year,ndvi_mean,ndvi_stddev,ndvi_min,ndvi_max
Andaman and Nicobar,2020,0.7126269028660499,0.1252134852588227,-0.09346363636363636,0.90355
Andhra Pradesh,2020,0.4984000261794953,0.10109730800595114,-0.1821,0.8327260869565218
Arunachal Pradesh,2020,0.6732072539244803,0.14237012895762458,-0.018343478260869565,0.8854304347826086
Assam,2020,0.5746939438580856,0.1755317059266025,-0.13803809523809524,0.8718478260869565
Bihar,2020,0.4864060070753503,0.0816618783119371,-0.08392857142857144,0.8206173913043479
Chandigarh,2020,0.4658465917910844,0.0597818871114829,0.317395652173913,0.6229782608695652
Chhattisgarh,2020,0.5333493151143119,0.08969180793333706,-0.028457894736842106,0.8078478260869565
Dadra and Nagar Haveli,2020,0.47787389223862237,0.06196171090991348,0.02798695652173913,0.6342391304347826
Daman and Diu,2020,0.48523773512550394,0.1011366564102812,-0.03323333333333333,0.6384652173913044
Delhi,2020,0.37597376381327396,0.0884480961879124,0.12462173913043477,0.594804347826087
Goa,2020,0.583965743620031,0.08824436791674874,-0.0901,0.81745
Gujarat,2020,0.4101138115297737,0.12556464003360004,-0.1636,0.7996
Haryana,2020,0.47249646949567914,0.07041336426341645,0.15312173913043478,0.8080782608695652
Himachal Pradesh,2020,0.3473004631567128,0.28887837234482594,-0.07942608695652174,0.8310173913043478
Jharkhand,2020,0.5325780356707782,0.08934941503558537,-0.10186470588235294,0.8098
Karnataka,2020,0.47371146272078984,0.10699573216421522,-0.169,0.8357826086956522
Kerala,2020,0.6858160216698049,0.07967872591674112,-0.0474,0.8597869565217392
Lakshadweep,2020,0.4613082937371294,0.19578930876914402,-0.0572,0.8262
Madhya Pradesh,2020,0.48375556786634516,0.07972517699648593,-0.15471666666666667,0.7880130434782608
Maharashtra,2020,0.48277087510220873,0.0824471225968827,-0.11465,0.7986434782608696
Manipur,2020,0.6772420129128621,0.09651058171221187,0.09103478260869564,0.865704347826087
Meghalaya,2020,0.6465005762401558,0.0826642962704769,0.09447391304347827,0.8191608695652174
Mizoram,2020,0.7667493181540253,0.04829133144672803,0.4194347826086957,0.8874565217391304
Nagaland,2020,0.7047166155014607,0.07467705072190815,0.28124347826086954,0.8632304347826086
Orissa,2020,0.5659182488866644,0.10562080491103466,-0.1998,0.861191304347826
Puducherry,2020,0.5484656948965698,0.09911998422670838,0.018066666666666665,0.7580043478260869
Punjab,2020,0.5360724901792662,0.0508476306555091,0.01093,0.7683695652173913
Rajasthan,2020,0.302731580629598,0.12438474960511518,-0.09806875,0.6779391304347826
Sikkim,2020,0.33877315967471944,0.27046386274605166,-0.1016695652173913,0.815404347826087
Tamil Nadu,2020,0.5226404001026834,0.11056346037792648,-0.1523,0.858708695652174
Tripura,2020,0.6922319042312376,0.07227983304192159,0.17604782608695652,0.8497869565217392
Uttar Pradesh,2020,0.49184133748459763,0.0727174267524212,-0.13301052631578947,0.8315695652173913
Uttarakhand,2020,0.49956425071702143,0.24625751261946624,-0.0916304347826087,0.8373826086956522
West Bengal,2020,0.5313151464675184,0.0936112145600263,-0.1797,0.8277130434782608
