state_name,year,aod_mean,aod_stddev,aod_min,aod_max
Andaman and Nicobar,2024,259.471871457038,52.7447185749966,101.38709677419355,393.3614457831325
Andhra Pradesh,2024,788.4658179239694,98.197466524604,334.30285714285714,1053.4401913875597
Arunachal Pradesh,2024,213.0459966146162,71.08619290722231,82.4766355140187,408.13793103448273
Assam,2024,516.1007172919268,143.59433053163036,202.60227272727272,868.952380952381
Bihar,2024,1046.1155690347132,85.08684686671407,652.4959016393443,1290.5373134328358
Chandigarh,2024,700.2860510298783,24.988858392546163,667.1237623762377,739.4826732673267
Chhattisgarh,2024,870.514344010976,95.23078177824553,509.8251748251748,1065.344696969697
Dadra and Nagar Haveli,2024,682.4273584170824,50.9890969897618,416.25912408759126,748.6132930513595
Daman and Diu,2024,575.6483857710821,58.8446061153996,453.97872340425533,743.1061946902655
Delhi,2024,877.8318024476007,30.108660813423935,797.5191082802547,939.8620689655172
Goa,2024,663.4338608558538,57.10443065293211,538.7592592592592,749.0932835820895
Gujarat,2024,615.4036152718705,139.35649015869532,162.78546712802768,3572.718309859155
Haryana,2024,809.6453772060596,56.13271513898526,452.42929292929296,944.6908517350158
Himachal Pradesh,2024,217.05177600254223,197.93324289099004,19.225396825396825,732.1543942992874
Jharkhand,2024,865.771777521245,92.22586348809106,311.5869565217391,1140.164609053498
Karnataka,2024,647.6262633649735,78.51033601977265,223.6727272727273,955.0688259109312
Kerala,2024,534.5942544411016,116.83825278204694,270.8137931034483,781.6013513513514
Lakshadweep,2024,619.0342793917546,108.08400049789255,365.0416666666667,757.9870967741936
Madhya Pradesh,2024,737.4073361762723,81.97700356518793,253.83333333333334,989.4719471947195
Maharashtra,2024,744.450146029431,98.53956073025797,281.78248587570624,1006.4223107569721
Manipur,2024,293.3106481584198,60.16395976588116,143.92168674698794,476.0479233226837
Meghalaya,2024,448.63324402790215,149.94922522751622,202.60227272727272,822.918918918919
Mizoram,2024,343.63094268600975,68.87160455526426,210,530.9367088607595
Nagaland,2024,310.68340161473265,76.1199423173261,151.205,501.277397260274
Orissa,2024,919.9485091881046,103.04210449954519,354.0669642857143,1349.9794871794873
Puducherry,2024,615.174252171162,103.04674681429918,451.12280701754383,919.3525641025641
Punjab,2024,810.7768906595129,75.29202716865701,411.8901098901099,942.6648936170212
Rajasthan,2024,670.1556225876337,81.31130500657754,322.41198501872657,945.3083573487032
Sikkim,2024,164.6085773699956,162.35083434215656,19.254988913525498,530.4372294372295
Tamil Nadu,2024,561.3596100386579,71.4840230409219,270.8137931034483,750.7424242424242
Tripura,2024,493.92732206009964,42.61209672741042,350.67578125,615.606334841629
Uttar Pradesh,2024,901.561373122223,95.97610287597868,253.83333333333334,1154.3212851405622
Uttarakhand,2024,328.66014284243863,223.85466893114358,19.205128205128204,806.3860589812332
West Bengal,2024,951.6695729579385,123.18952171051339,267.9047619047619,1362.9675324675325
