state_name,year,aod_mean,aod_stddev,aod_min,aod_max
Andaman and Nicobar,2022,191.7431381628774,38.02495215615691,105.51546391752578,324.66359447004606
Andhra Pradesh,2022,739.0318757809513,65.44717207767432,408.45498783454985,1250.6847826086957
Arunachal Pradesh,2022,197.61352509661862,69.34739406788748,29.370967741935484,406.19354838709677
Assam,2022,470.35653785060344,114.68198033334596,177.38181818181818,780.2610837438424
Bihar,2022,821.8426475186831,57.15695864074005,535.2992700729927,942.9114832535885
Chandigarh,2022,681.7010571949638,19.619774438164907,656.1586776859505,711.8245033112582
Chhattisgarh,2022,731.3177829656524,61.1910385476632,524.0669642857143,856.3118503118503
Dadra and Nagar Haveli,2022,634.8035298048716,35.0614747940542,462.7367256637168,687.4911591355599
Daman and Diu,2022,586.4655569152743,42.51228865863528,471.3359173126615,706.3804971319312
Delhi,2022,740.5539992834794,40.61941395251625,618.9512195121952,822.6287744227353
Goa,2022,582.0520205239096,37.88140724343942,481.464,652.8709677419355
Gujarat,2022,601.4438613427864,115.97498910204392,238.31627906976743,3051.4972067039107
Haryana,2022,652.496183926016,49.2585961751686,434.55009107468123,817.3837837837838
Himachal Pradesh,2022,202.6908297730615,187.5251080058427,19.24416135881104,688.7152209492635
Jharkhand,2022,699.5570413854207,64.71422047404124,318.8844621513944,881.4192037470726
Karnataka,2022,610.6042658068563,70.15445028504219,282.18,785.0203619909503
Kerala,2022,509.752404901854,107.25393617473188,265.50714285714287,775.8057971014492
Lakshadweep,2022,550.8468173137665,95.19891095490426,342.3888888888889,754.8125
Madhya Pradesh,2022,629.3177352867557,56.70656541570363,190.43579766536965,797.7930434782609
Maharashtra,2022,650.2843012917425,58.0153495889431,330.373253493014,855.7213114754098
Manipur,2022,298.4633669344788,58.92298785851855,152.63533834586465,489.04545454545456
Meghalaya,2022,381.41231967846204,99.99570915899957,218.44237918215615,699.524064171123
Mizoram,2022,336.7614178551326,44.53802415752262,224.88563829787233,454.8271889400922
Nagaland,2022,301.4148418126508,60.78338674408351,120.74834437086092,483.9292452830189
Orissa,2022,762.6774490377203,61.388109066676655,384.38129496402877,1398.3850415512466
Puducherry,2022,598.2969882471637,66.6258912433064,467.61764705882354,734.0639097744361
Punjab,2022,656.7598059993147,61.99238498440744,386.96494156928213,755.2383252818036
Rajasthan,2022,636.2633462226072,62.37065363492536,250.8,828.5414364640884
Sikkim,2022,121.70194299273466,123.01698867342806,18.19047619047619,448.63858695652175
Tamil Nadu,2022,531.1601714352341,68.48105308957385,273.7945205479452,969.3157894736842
Tripura,2022,409.7057806130932,36.31103151303211,314.4570815450644,530.3244680851063
Uttar Pradesh,2022,758.9227023300215,70.87875674531139,190.43579766536965,913.20892494929
Uttarakhand,2022,311.7989521300427,202.77293843203498,19.35275080906149,753.3735909822866
West Bengal,2022,739.8717509801832,95.2402839372903,164.46017699115043,1081.8034934497816
