state_name,year,cropland_percent,kharif_ndvi,rabi_ndvi,evi_mean,evi_max
Andaman and Nicobar,2020,0.21409095709257084,0.6380511034834088,0.7872098460218914,0.48375881706897783,0.7143054746954606
Andhra Pradesh,2020,73.75528404495387,0.5307433566012972,0.5221404845056296,0.3132996941999836,0.5514223047461309
Arunachal Pradesh,2020,10.280572772735942,0.5867060133075347,0.7487829728211155,0.40108101455545664,0.6392574222364749
Assam,2020,46.867257215419215,0.5846320125983988,0.5629427125160776,0.35770084180660244,0.5807839438645962
Bihar,2020,90.78827481223051,0.48958829509408763,0.5175224652193459,0.3086991354809973,0.5652297503998875
Chandigarh,2020,7.736011810958314,0.501580647692079,0.4494208860290978,0.27741001003925336,0.44099153830823107
Chhattisgarh,2020,47.55743365967482,0.5654511805724804,0.5532430322554404,0.31992905036674035,0.5935067230578233
Dadra and Nagar Haveli,2020,92.39834721595012,0.5433058151841755,0.48201171101471374,0.2972109045964477,0.6191793442451894
Daman and Diu,2020,36.69221805725203,0.5308270934140547,0.493435568527133,0.2958598095360832,0.535951932384551
Delhi,2020,34.25050919815546,0.394250979872882,0.39009045877319565,0.23469646706374048,0.4100876063888084
Goa,2020,16.68603818850725,0.47931817803551613,0.6695256060363185,0.3508092824788558,0.6092452932741111
Gujarat,2020,72.62210178541989,0.44387077963118327,0.4373568291230523,0.2581971175166967,0.47904296976277455
Haryana,2020,94.68545850619809,0.4756838284735789,0.5566308462896745,0.3158244070284998,0.5932433769006631
Himachal Pradesh,2020,5.092129648727542,0.43816719727772063,0.2808481839551461,0.18212531803439388,0.37087091893315294
Jharkhand,2020,73.36231778677264,0.5866637592131955,0.5186922393614007,0.3303615164092764,0.5758485749599451
Karnataka,2020,72.45820703401081,0.4588075453402552,0.51027754999047,0.2892748922999657,0.5145325258239555
Kerala,2020,24.702359851227985,0.6134514978329113,0.740830181403221,0.43365697890402255,0.621297579675164
Lakshadweep,2020,0,0.4240974161266671,0.5344707252352436,0.2488344392566392,0.4120867551158085
Madhya Pradesh,2020,75.76723891442039,0.5347234856169405,0.5268136743655054,0.2952448014786378,0.6008701349972962
Maharashtra,2020,80.80488642189448,0.5371521833910743,0.5042436132325527,0.29050025210765923,0.5791272463558321
Manipur,2020,8.945590309094252,0.6119429673501364,0.7545880843959873,0.4279424319920553,0.7004858537780028
Meghalaya,2020,2.997337063233365,0.590680383494409,0.6999473121796572,0.39728594203753326,0.6445224438848254
Mizoram,2020,0.16847294092975487,0.7382213605181648,0.8050440381686422,0.5128291929092168,0.7705706007164491
Nagaland,2020,2.229141466989813,0.6604517911560809,0.763898268288244,0.44821525569854914,0.7260076850167395
Orissa,2020,55.69230766524797,0.5825221535069407,0.5679798844092023,0.3494204240275493,0.6003216047793904
Puducherry,2020,54.829005220112684,0.5258936348327449,0.6044610645356568,0.3323019864252055,0.4880149521439368
Punjab,2020,94.32518903662974,0.5595130494683407,0.6040658127028793,0.3565583233663969,0.6541783666653503
Rajasthan,2020,62.83064660054984,0.3382769053705477,0.31989375330209974,0.20198626967695332,0.4143717300355507
Sikkim,2020,0.11195696563525656,0.3287492266213677,0.3775461371408,0.1813200028341999,0.4154461158915514
Tamil Nadu,2020,78.68811217287748,0.5223591110702384,0.5552155452054264,0.32617562547921203,0.49934843550759295
Tripura,2020,15.961510024165154,0.6915713428496696,0.6904803259920101,0.4426727541636377,0.6969999389323827
Uttar Pradesh,2020,93.44900674527891,0.5237034828074221,0.5290966976018995,0.32613754157254904,0.5962614326138074
Uttarakhand,2020,11.62148588629976,0.5626779634290342,0.46537092266236196,0.2741106624162184,0.501781359485574
West Bengal,2020,82.58059114399073,0.5515850091095298,0.5078431213740586,0.32778392836571196,0.5624627582834705
